               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.024491,           0.0070185,           0.0041017,             0.84766,             0.71316,             0.78001,             0.53132,            0.025021,           0.0028183,            0.023571,            0.004654,            0.004654,            0.004654
                 110,            0.023242,           0.0070886,           0.0044373,             0.85251,             0.71316,             0.78732,             0.58784,            0.021493,           0.0027878,            0.023043,           0.0046045,           0.0046045,           0.0046045
                 111,            0.022899,           0.0078756,           0.0047031,             0.85371,             0.72982,             0.82417,             0.57416,            0.027127,           0.0028062,            0.021916,            0.004555,            0.004555,            0.004555
                 112,            0.023039,           0.0066874,           0.0045237,             0.71202,             0.88772,             0.86374,             0.59438,            0.023939,           0.0028851,            0.019705,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023181,            0.006621,           0.0038232,             0.75193,             0.88691,             0.88837,             0.62325,            0.025444,           0.0029402,               0.017,            0.004456,            0.004456,            0.004456
                 114,            0.021464,           0.0068685,           0.0065144,             0.76309,             0.87636,             0.89199,             0.58536,            0.027156,           0.0029552,            0.017697,           0.0044065,           0.0044065,           0.0044065
                 115,            0.023632,           0.0069402,           0.0052659,              0.7502,              0.8984,             0.88883,             0.62888,            0.023443,           0.0028536,            0.018627,            0.004357,            0.004357,            0.004357
                 116,            0.023535,           0.0068618,           0.0042388,             0.85148,             0.79211,             0.87417,             0.63507,            0.022074,           0.0028663,            0.019416,           0.0043075,           0.0043075,           0.0043075
                 117,            0.023114,           0.0077323,           0.0048433,             0.72264,              0.8614,             0.86067,             0.65286,            0.020232,           0.0028319,            0.020166,            0.004258,            0.004258,            0.004258
                 118,            0.021188,           0.0068756,           0.0040515,             0.87202,             0.71316,             0.84353,             0.55638,            0.026112,           0.0029097,             0.02204,           0.0042085,           0.0042085,           0.0042085
                 119,            0.024279,           0.0064569,           0.0042228,             0.88586,             0.72982,             0.82557,             0.56147,            0.023655,           0.0028713,            0.022861,            0.004159,            0.004159,            0.004159
                 120,            0.021058,           0.0067098,           0.0036961,              0.8644,             0.72982,             0.83801,             0.60859,            0.022246,           0.0028155,            0.022756,           0.0041095,           0.0041095,           0.0041095
                 121,             0.02171,           0.0063726,           0.0038885,             0.85578,             0.72982,             0.84294,              0.6138,            0.022011,           0.0027995,            0.022665,             0.00406,             0.00406,             0.00406
                 122,            0.021593,           0.0060763,           0.0033481,             0.88031,              0.7491,             0.86328,             0.59462,            0.022786,           0.0028257,            0.020707,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020897,           0.0066775,           0.0066571,              0.7434,             0.86016,              0.8677,             0.63181,            0.020529,           0.0028017,            0.018012,            0.003961,            0.003961,            0.003961
                 124,            0.021208,           0.0062483,           0.0033724,             0.73918,             0.85879,              0.8668,             0.63057,            0.020357,           0.0027456,            0.018328,           0.0039115,           0.0039115,           0.0039115
                 125,            0.022356,           0.0067921,           0.0040783,             0.72826,             0.87566,              0.8536,             0.59406,            0.021757,           0.0027478,            0.019335,            0.003862,            0.003862,            0.003862
                 126,            0.021089,           0.0061527,           0.0040306,             0.72438,             0.86168,             0.84452,             0.58699,            0.021708,           0.0027423,            0.020957,           0.0038125,           0.0038125,           0.0038125
                 127,            0.021862,           0.0059901,           0.0033769,             0.73772,             0.83112,             0.86184,             0.65086,            0.020943,           0.0027242,            0.021804,            0.003763,            0.003763,            0.003763
                 128,            0.020912,           0.0071204,           0.0037159,             0.84551,             0.72974,             0.86116,             0.61087,            0.023647,           0.0028019,            0.021193,           0.0037135,           0.0037135,           0.0037135
